system:index,area_sq_km,latitude,longitude,near_healthy_bed,priority_score,priority_tier,recommended_action,region_id,region_name,state,status,status_label,.geo
-43861+12560,444.0,33.77364575326562,-118.34542301669981,0,1332.0,critical,urchin_removal_then_replant,palos_verdes,"Palos Verdes Peninsula, CA",CA,0,barren,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-118.44556515701127,33.8404350680665],[-118.44556515701127,33.837740122214136],[-118.44287021115892,33.837740122214136],[-118.44287021115892,33.83504517636178],[-118.44017526530655,33.83504517636178],[-118.44017526530655,33.837740122214136],[-118.4374803194542,33.837740122214136],[-118.4374803194542,33.83504517636178],[-118.43478537360184,33.83504517636178],[-118.43478537360184,33.829655284657065],[-118.43209042774949,33.829655284657065],[-118.43209042774949,33.83504517636178],[-118.42670053604476,33.83504517636178],[-118.42670053604476,33.83235023050942],[-118.42131064434005,33.83235023050942],[-118.42131064434005,33.829655284657065],[-118.41592075263533,33.829655284657065],[-118.41592075263533,33.82426539295234],[-118.41322580678298,33.82426539295234],[-118.41322580678298,33.818875501247625],[-118.41592075263533,33.818875501247625],[-118.41592075263533,33.81618055539527],[-118.41861569848768,33.81618055539527],[-118.41861569848768,33.810790663690554],[-118.42670053604476,33.810790663690554],[-118.42670053604476,33.80809571783819],[-118.42939548189712,33.80809571783819],[-118.42939548189712,33.80540077198584],[-118.43209042774949,33.80540077198584],[-118.43209042774949,33.800010880281114],[-118.42939548189712,33.800010880281114],[-118.42939548189712,33.802705826133476],[-118.42670053604476,33.802705826133476],[-118.42670053604476,33.7946209885764],[-118.42400559019241,33.7946209885764],[-118.42400559019241,33.79192604272404],[-118.42939548189712,33.79192604272404],[-118.42939548189712,33.7946209885764],[-118.43209042774949,33.7946209885764],[-118.43209042774949,33.78923109687168],[-118.43478537360184,33.78923109687168],[-118.43478537360184,33.79192604272404],[-118.4374803194542,33.79192604272404],[-118.4374803194542,33.79731593442876],[-118.44017526530655,33.79731593442876],[-118.44017526530655,33.800010880281114],[-118.44287021115892,33.800010880281114],[-118.44287021115892,33.802705826133476],[-118.44556515701127,33.802705826133476],[-118.44556515701127,33.80540077198584],[-118.450955048716,33.80540077198584],[-118.450955048716,33.80809571783819],[-118.44826010286363,33.80809571783819],[-118.44826010286363,33.810790663690554],[-118.45364999456835,33.810790663690554],[-118.45364999456835,33.81348560954291],[-118.4563449404207,33.81348560954291],[-118.4563449404207,33.81618055539527],[-118.46173483212543,33.81618055539527],[-118.46173483212543,33.81348560954291],[-118.46442977797778,33.81348560954291],[-118.46442977797778,33.818875501247625],[-118.46712472383014,33.818875501247625],[-118.46712472383014,33.81348560954291],[-118.46981966968251,33.81348560954291],[-118.46981966968251,33.81618055539527],[-118.47251461553486,33.81618055539527],[-118.47251461553486,33.82157044709999],[-118.47520956138722,33.82157044709999],[-118.47520956138722,33.82426539295234],[-118.47251461553486,33.82426539295234],[-118.47251461553486,33.83235023050942],[-118.47520956138722,33.83235023050942],[-118.47520956138722,33.837740122214136],[-118.47251461553486,33.837740122214136],[-118.47251461553486,33.8404350680665],[-118.47520956138722,33.8404350680665],[-118.47520956138722,33.84313001391885],[-118.48059945309194,33.84313001391885],[-118.48059945309194,33.85121485147593],[-118.488684290649,33.85121485147593],[-118.488684290649,33.845824959771214],[-118.49137923650137,33.845824959771214],[-118.49137923650137,33.8404350680665],[-118.49407418235373,33.8404350680665],[-118.49407418235373,33.837740122214136],[-118.49676912820608,33.837740122214136],[-118.49676912820608,33.8404350680665],[-118.49946407405845,33.8404350680665],[-118.49946407405845,33.82426539295234],[-118.49676912820608,33.82426539295234],[-118.49676912820608,33.82157044709999],[-118.49946407405845,33.82157044709999],[-118.49946407405845,33.70029788374385],[-118.20032508444665,33.70029788374385],[-118.20032508444665,33.85121485147593],[-118.46712472383014,33.85121485147593],[-118.46712472383014,33.845824959771214],[-118.47251461553486,33.845824959771214],[-118.47251461553486,33.84313001391885],[-118.46981966968251,33.84313001391885],[-118.46981966968251,33.8404350680665],[-118.46173483212543,33.8404350680665],[-118.46173483212543,33.837740122214136],[-118.45903988627306,33.837740122214136],[-118.45903988627306,33.83504517636178],[-118.46442977797778,33.83504517636178],[-118.46442977797778,33.829655284657065],[-118.46173483212543,33.829655284657065],[-118.46173483212543,33.83235023050942],[-118.45364999456835,33.83235023050942],[-118.45364999456835,33.837740122214136],[-118.4563449404207,33.837740122214136],[-118.4563449404207,33.84313001391885],[-118.45903988627306,33.84313001391885],[-118.45903988627306,33.84851990562357],[-118.45364999456835,33.84851990562357],[-118.45364999456835,33.84313001391885],[-118.450955048716,33.84313001391885],[-118.450955048716,33.8404350680665],[-118.44556515701127,33.8404350680665]],[[-118.49137923650137,33.8404350680665],[-118.49137923650137,33.837740122214136],[-118.488684290649,33.837740122214136],[-118.488684290649,33.8404350680665],[-118.49137923650137,33.8404350680665]],[[-118.44556515701127,33.8404350680665],[-118.44287021115892,33.8404350680665],[-118.44287021115892,33.84313001391885],[-118.44556515701127,33.84313001391885],[-118.44556515701127,33.8404350680665]],[[-118.4832943989443,33.72455239641508],[-118.47520956138722,33.72455239641508],[-118.47520956138722,33.72724734226744],[-118.4832943989443,33.72724734226744],[-118.4832943989443,33.72455239641508]],[[-118.42400559019241,33.783841205166965],[-118.42131064434005,33.783841205166965],[-118.42131064434005,33.78653615101933],[-118.42400559019241,33.78653615101933],[-118.42400559019241,33.783841205166965]],[[-118.42400559019241,33.802705826133476],[-118.42131064434005,33.802705826133476],[-118.42131064434005,33.80540077198584],[-118.42400559019241,33.80540077198584],[-118.42400559019241,33.802705826133476]],[[-118.30812291854099,33.70838272130093],[-118.30542797268863,33.70838272130093],[-118.30542797268863,33.71107766715328],[-118.30812291854099,33.71107766715328],[-118.30812291854099,33.70838272130093]]]}"
-43943+12543,0.0,33.804053299119815,-118.42265811730658,1,1.0,monitor,no_action,palos_verdes,"Palos Verdes Peninsula, CA",CA,2,healthy,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-118.42400559019241,33.802705826133476],[-118.42131064434004,33.802705826133476],[-118.42131064434004,33.80540077198584],[-118.42400559019241,33.80540077198584],[-118.42400559019241,33.802705826133476]]]}"
-43946+12546,0.0,33.81213813702005,-118.43074295473994,1,1.0,monitor,urchin_removal_then_replant,palos_verdes,"Palos Verdes Peninsula, CA",CA,0,barren,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-118.43209042774949,33.810790663690554],[-118.42939548189712,33.810790663690554],[-118.42939548189712,33.81348560954291],[-118.43209042774949,33.81348560954291],[-118.43209042774949,33.810790663690554]]]}"
-43951+12557,0.0,33.84178254112167,-118.444217684181,1,1.0,monitor,no_action,palos_verdes,"Palos Verdes Peninsula, CA",CA,2,healthy,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-118.44556515701127,33.8404350680665],[-118.44287021115892,33.8404350680665],[-118.44287021115892,33.84313001391885],[-118.44556515701127,33.84313001391885],[-118.44556515701127,33.8404350680665]]]}"
-43952+12546,0.0,33.81213813704905,-118.44691262979916,1,1.0,monitor,urchin_removal_then_replant,palos_verdes,"Palos Verdes Peninsula, CA",CA,0,barren,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-118.44826010286363,33.810790663690554],[-118.44556515701127,33.810790663690554],[-118.44556515701127,33.81348560954291],[-118.44826010286363,33.81348560954291],[-118.44826010286363,33.810790663690554]]]}"
-43958+12549,0.0,33.82022297429526,-118.46308230497166,1,1.0,monitor,urchin_removal_then_replant,palos_verdes,"Palos Verdes Peninsula, CA",CA,0,barren,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-118.46442977797778,33.818875501247625],[-118.46173483212543,33.818875501247625],[-118.46173483212543,33.82157044709999],[-118.46442977797778,33.82157044709999],[-118.46442977797778,33.818875501247625]]]}"
-43958+12551,0.0,33.82561286618567,-118.46308230497446,1,1.0,monitor,urchin_removal_then_replant,palos_verdes,"Palos Verdes Peninsula, CA",CA,0,barren,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-118.46442977797778,33.82426539295234],[-118.46173483212543,33.82426539295234],[-118.46173483212543,33.8269603388047],[-118.46442977797778,33.8269603388047],[-118.46442977797778,33.82426539295234]]]}"
-43960+12560,18.0,33.8228280228947,-118.44562947421308,1,1.0,monitor,no_action,palos_verdes,"Palos Verdes Peninsula, CA",CA,2,healthy,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-118.46442977797778,33.818875501247625],[-118.46442977797778,33.81348560954291],[-118.46173483212543,33.81348560954291],[-118.46173483212543,33.81618055539527],[-118.4563449404207,33.81618055539527],[-118.4563449404207,33.81348560954291],[-118.45364999456835,33.81348560954291],[-118.45364999456835,33.810790663690554],[-118.44826010286363,33.810790663690554],[-118.44826010286363,33.80809571783819],[-118.450955048716,33.80809571783819],[-118.450955048716,33.80540077198584],[-118.44556515701127,33.80540077198584],[-118.44556515701127,33.802705826133476],[-118.44287021115892,33.802705826133476],[-118.44287021115892,33.800010880281114],[-118.44017526530655,33.800010880281114],[-118.44017526530655,33.79731593442876],[-118.4374803194542,33.79731593442876],[-118.4374803194542,33.79192604272404],[-118.43478537360184,33.79192604272404],[-118.43478537360184,33.78923109687168],[-118.43209042774949,33.78923109687168],[-118.43209042774949,33.7946209885764],[-118.42939548189712,33.7946209885764],[-118.42939548189712,33.79192604272404],[-118.42400559019241,33.79192604272404],[-118.42400559019241,33.7946209885764],[-118.42670053604476,33.7946209885764],[-118.42670053604476,33.802705826133476],[-118.42939548189712,33.802705826133476],[-118.42939548189712,33.800010880281114],[-118.43209042774949,33.800010880281114],[-118.43209042774949,33.80540077198584],[-118.42939548189712,33.80540077198584],[-118.42939548189712,33.80809571783819],[-118.42670053604476,33.80809571783819],[-118.42670053604476,33.810790663690554],[-118.41861569848768,33.810790663690554],[-118.41861569848768,33.81618055539527],[-118.41592075263533,33.81618055539527],[-118.41592075263533,33.818875501247625],[-118.41322580678298,33.818875501247625],[-118.41322580678298,33.82426539295234],[-118.41592075263533,33.82426539295234],[-118.41592075263533,33.829655284657065],[-118.42131064434005,33.829655284657065],[-118.42131064434005,33.83235023050942],[-118.42670053604476,33.83235023050942],[-118.42670053604476,33.83504517636178],[-118.43209042774949,33.83504517636178],[-118.43209042774949,33.829655284657065],[-118.43478537360184,33.829655284657065],[-118.43478537360184,33.83504517636178],[-118.4374803194542,33.83504517636178],[-118.4374803194542,33.837740122214136],[-118.44017526530655,33.837740122214136],[-118.44017526530655,33.83504517636178],[-118.44287021115892,33.83504517636178],[-118.44287021115892,33.837740122214136],[-118.44556515701127,33.837740122214136],[-118.44556515701127,33.8404350680665],[-118.450955048716,33.8404350680665],[-118.450955048716,33.84313001391885],[-118.45364999456835,33.84313001391885],[-118.45364999456835,33.84851990562357],[-118.45903988627306,33.84851990562357],[-118.45903988627306,33.84313001391885],[-118.4563449404207,33.84313001391885],[-118.4563449404207,33.837740122214136],[-118.45364999456835,33.837740122214136],[-118.45364999456835,33.83235023050942],[-118.46173483212543,33.83235023050942],[-118.46173483212543,33.829655284657065],[-118.46442977797778,33.829655284657065],[-118.46442977797778,33.83504517636178],[-118.45903988627306,33.83504517636178],[-118.45903988627306,33.837740122214136],[-118.46173483212543,33.837740122214136],[-118.46173483212543,33.8404350680665],[-118.46981966968251,33.8404350680665],[-118.46981966968251,33.84313001391885],[-118.47251461553486,33.84313001391885],[-118.47251461553486,33.845824959771214],[-118.46712472383014,33.845824959771214],[-118.46712472383014,33.85121485147593],[-118.48059945309194,33.85121485147593],[-118.48059945309194,33.84313001391885],[-118.47520956138722,33.84313001391885],[-118.47520956138722,33.8404350680665],[-118.47251461553486,33.8404350680665],[-118.47251461553486,33.837740122214136],[-118.47520956138722,33.837740122214136],[-118.47520956138722,33.83235023050942],[-118.47251461553486,33.83235023050942],[-118.47251461553486,33.82426539295234],[-118.47520956138722,33.82426539295234],[-118.47520956138722,33.82157044709999],[-118.47251461553486,33.82157044709999],[-118.47251461553486,33.81618055539527],[-118.46981966968251,33.81618055539527],[-118.46981966968251,33.81348560954291],[-118.46712472383014,33.81348560954291],[-118.46712472383014,33.818875501247625],[-118.46442977797778,33.818875501247625]],[[-118.46442977797778,33.818875501247625],[-118.46173483212543,33.818875501247625],[-118.46173483212543,33.82157044709999],[-118.46442977797778,33.82157044709999],[-118.46442977797778,33.818875501247625]],[[-118.44826010286363,33.810790663690554],[-118.44556515701127,33.810790663690554],[-118.44556515701127,33.81348560954291],[-118.44826010286363,33.81348560954291],[-118.44826010286363,33.810790663690554]],[[-118.46442977797778,33.82426539295234],[-118.46173483212543,33.82426539295234],[-118.46173483212543,33.8269603388047],[-118.46442977797778,33.8269603388047],[-118.46442977797778,33.82426539295234]],[[-118.43209042774949,33.810790663690554],[-118.42939548189712,33.810790663690554],[-118.42939548189712,33.81348560954291],[-118.43209042774949,33.81348560954291],[-118.43209042774949,33.810790663690554]]]}"
-43963+12514,0.0,33.72589992819288,-118.47925198016861,1,1.0,monitor,no_action,palos_verdes,"Palos Verdes Peninsula, CA",CA,2,healthy,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-118.4832943989443,33.72455239641508],[-118.47520956138722,33.72455239641508],[-118.47520956138722,33.72724734226744],[-118.4832943989443,33.72724734226744],[-118.4832943989443,33.72455239641508]]]}"
-43968+12556,0.0,33.83908759560667,-118.49003176353874,1,1.0,monitor,no_action,palos_verdes,"Palos Verdes Peninsula, CA",CA,2,healthy,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-118.49137923650137,33.837740122214136],[-118.488684290649,33.837740122214136],[-118.488684290649,33.8404350680665],[-118.49137923650137,33.8404350680665],[-118.49137923650137,33.837740122214136]]]}"
